subject_iri,relation,object_iri,subject_label,object_label
http://healthcarekg.org/ontology/breast_cancer,treatedBy,http://healthcarekg.org/ontology/doxorubicin,"breast cancer","Doxorubicin"
http://healthcarekg.org/ontology/metabolic_syndrome_x,hasSymptom,http://healthcarekg.org/ontology/albuminuria,"metabolic syndrome X","Albuminuria"
http://healthcarekg.org/ontology/malignant_glioma,hasSymptom,http://healthcarekg.org/ontology/low_back_pain,"malignant glioma","Low Back Pain"
http://healthcarekg.org/ontology/allergic_rhinitis,treatedBy,http://healthcarekg.org/ontology/triamcinolone,"allergic rhinitis","Triamcinolone"
http://healthcarekg.org/ontology/attention_deficit_hyperactivity_disorder,hasSymptom,http://healthcarekg.org/ontology/hyperkinesis,"attention deficit hyperactivity disorder","Hyperkinesis"
http://healthcarekg.org/ontology/parkinson_s_disease,hasSymptom,http://healthcarekg.org/ontology/sensation_disorders,"Parkinson's disease","Sensation Disorders"
http://healthcarekg.org/ontology/meningioma,hasSymptom,http://healthcarekg.org/ontology/low_back_pain,"meningioma","Low Back Pain"
http://healthcarekg.org/ontology/epilepsy_syndrome,treatedBy,http://healthcarekg.org/ontology/trimethadione,"epilepsy syndrome","Trimethadione"
http://healthcarekg.org/ontology/asthma,hasSymptom,http://healthcarekg.org/ontology/chest_pain,"asthma","Chest Pain"
http://healthcarekg.org/ontology/larynx_cancer,hasSymptom,http://healthcarekg.org/ontology/earache,"larynx cancer","Earache"
http://healthcarekg.org/ontology/endogenous_depression,hasSymptom,http://healthcarekg.org/ontology/psychophysiologic_disorders,"endogenous depression","Psychophysiologic Disorders"
http://healthcarekg.org/ontology/hypertension,hasSymptom,http://healthcarekg.org/ontology/albuminuria,"hypertension","Albuminuria"
http://healthcarekg.org/ontology/nephrolithiasis,hasSymptom,http://healthcarekg.org/ontology/quadriplegia,"nephrolithiasis","Quadriplegia"
http://healthcarekg.org/ontology/ileum_cancer,hasSymptom,http://healthcarekg.org/ontology/abdomen_acute,"ileum cancer","Abdomen, Acute"
http://healthcarekg.org/ontology/rheumatoid_arthritis,treatedBy,http://healthcarekg.org/ontology/penicillamine,"rheumatoid arthritis","Penicillamine"
http://healthcarekg.org/ontology/glaucoma,hasSymptom,http://healthcarekg.org/ontology/blindness,"glaucoma","Blindness"
http://healthcarekg.org/ontology/autistic_disorder,hasSymptom,http://healthcarekg.org/ontology/learning_disorders,"autistic disorder","Learning Disorders"
http://healthcarekg.org/ontology/epilepsy_syndrome,hasSymptom,http://healthcarekg.org/ontology/consciousness_disorders,"epilepsy syndrome","Consciousness Disorders"
http://healthcarekg.org/ontology/peripheral_nervous_system_neoplasm,hasSymptom,http://healthcarekg.org/ontology/ageusia,"peripheral nervous system neoplasm","Ageusia"
http://healthcarekg.org/ontology/gilles_de_la_tourette_syndrome,hasSymptom,http://healthcarekg.org/ontology/echolalia,"Gilles de la Tourette syndrome","Echolalia"
http://healthcarekg.org/ontology/colon_cancer,hasSymptom,http://healthcarekg.org/ontology/nausea,"colon cancer","Nausea"
http://healthcarekg.org/ontology/esophageal_cancer,treatedBy,http://healthcarekg.org/ontology/cisplatin,"esophageal cancer","Cisplatin"
http://healthcarekg.org/ontology/testicular_cancer,hasSymptom,http://healthcarekg.org/ontology/hearing_loss,"testicular cancer","Hearing Loss"
http://healthcarekg.org/ontology/ovarian_cancer,hasSymptom,http://healthcarekg.org/ontology/constipation,"ovarian cancer","Constipation"
http://healthcarekg.org/ontology/malignant_glioma,hasSymptom,http://healthcarekg.org/ontology/dysarthria,"malignant glioma","Dysarthria"
http://healthcarekg.org/ontology/ulcerative_colitis,treatedBy,http://healthcarekg.org/ontology/triamcinolone,"ulcerative colitis","Triamcinolone"
http://healthcarekg.org/ontology/acquired_immunodeficiency_syndrome,hasSymptom,http://healthcarekg.org/ontology/purpura_thrombocytopenic,"acquired immunodeficiency syndrome","Purpura, Thrombocytopenic"
http://healthcarekg.org/ontology/prostate_cancer,treatedBy,http://healthcarekg.org/ontology/ethinyl_estradiol,"prostate cancer","Ethinyl Estradiol"
http://healthcarekg.org/ontology/epilepsy_syndrome,hasSymptom,http://healthcarekg.org/ontology/amnesia_retrograde,"epilepsy syndrome","Amnesia, Retrograde"
http://healthcarekg.org/ontology/vulva_cancer,hasSymptom,http://healthcarekg.org/ontology/skin_manifestations,"vulva cancer","Skin Manifestations"
http://healthcarekg.org/ontology/skin_cancer,treatedBy,http://healthcarekg.org/ontology/dactinomycin,"skin cancer","Dactinomycin"
http://healthcarekg.org/ontology/atherosclerosis,hasSymptom,http://healthcarekg.org/ontology/angina_pectoris,"atherosclerosis","Angina Pectoris"
http://healthcarekg.org/ontology/muscle_cancer,hasSymptom,http://healthcarekg.org/ontology/urinary_incontinence,"muscle cancer","Urinary Incontinence"
http://healthcarekg.org/ontology/malignant_mesothelioma,hasSymptom,http://healthcarekg.org/ontology/anorexia,"malignant mesothelioma","Anorexia"
http://healthcarekg.org/ontology/hypertension,treatedBy,http://healthcarekg.org/ontology/esmolol,"hypertension","Esmolol"
http://healthcarekg.org/ontology/ovarian_cancer,hasSymptom,http://healthcarekg.org/ontology/anorexia,"ovarian cancer","Anorexia"
http://healthcarekg.org/ontology/hematologic_cancer,hasSymptom,http://healthcarekg.org/ontology/fever,"hematologic cancer","Fever"
http://healthcarekg.org/ontology/melanoma,hasSymptom,http://healthcarekg.org/ontology/pruritus,"melanoma","Pruritus"
http://healthcarekg.org/ontology/melanoma,treatedBy,http://healthcarekg.org/ontology/dacarbazine,"melanoma","Dacarbazine"
http://healthcarekg.org/ontology/gout,hasSymptom,http://healthcarekg.org/ontology/arthralgia,"gout","Arthralgia"
http://healthcarekg.org/ontology/osteoporosis,hasSymptom,http://healthcarekg.org/ontology/paraplegia,"osteoporosis","Paraplegia"
http://healthcarekg.org/ontology/nephrolithiasis,hasSymptom,http://healthcarekg.org/ontology/pain,"nephrolithiasis","Pain"
http://healthcarekg.org/ontology/psoriasis,hasSymptom,http://healthcarekg.org/ontology/facial_pain,"psoriasis","Facial Pain"
http://healthcarekg.org/ontology/uterine_cancer,treatedBy,http://healthcarekg.org/ontology/dactinomycin,"uterine cancer","Dactinomycin"
http://healthcarekg.org/ontology/schizophrenia,hasSymptom,http://healthcarekg.org/ontology/anhedonia,"schizophrenia","Anhedonia"
http://healthcarekg.org/ontology/epilepsy_syndrome,hasSymptom,http://healthcarekg.org/ontology/sleep_apnea_central,"epilepsy syndrome","Sleep Apnea, Central"
http://healthcarekg.org/ontology/multiple_sclerosis,hasSymptom,http://healthcarekg.org/ontology/memory_disorders,"multiple sclerosis","Memory Disorders"
http://healthcarekg.org/ontology/hypertension,hasSymptom,http://healthcarekg.org/ontology/post_exercise_hypotension,"hypertension","Post-Exercise Hypotension"
http://healthcarekg.org/ontology/esophageal_cancer,hasSymptom,http://healthcarekg.org/ontology/pain,"esophageal cancer","Pain"
http://healthcarekg.org/ontology/salivary_gland_cancer,hasSymptom,http://healthcarekg.org/ontology/facial_paralysis,"salivary gland cancer","Facial Paralysis"
http://healthcarekg.org/ontology/cleft_lip,hasSymptom,http://healthcarekg.org/ontology/gingival_hemorrhage,"cleft lip","Gingival Hemorrhage"
http://healthcarekg.org/ontology/asthma,hasSymptom,http://healthcarekg.org/ontology/apnea,"asthma","Apnea"
http://healthcarekg.org/ontology/endogenous_depression,hasSymptom,http://healthcarekg.org/ontology/sleep_disorders_circadian_rhythm,"endogenous depression","Sleep Disorders, Circadian Rhythm"
http://healthcarekg.org/ontology/lung_cancer,treatedBy,http://healthcarekg.org/ontology/vinorelbine,"lung cancer","Vinorelbine"
http://healthcarekg.org/ontology/germ_cell_cancer,hasSymptom,http://healthcarekg.org/ontology/ophthalmoplegia,"germ cell cancer","Ophthalmoplegia"
http://healthcarekg.org/ontology/cervical_cancer,hasSymptom,http://healthcarekg.org/ontology/abdominal_pain,"cervical cancer","Abdominal Pain"
http://healthcarekg.org/ontology/ankylosing_spondylitis,treatedBy,http://healthcarekg.org/ontology/methylprednisolone,"ankylosing spondylitis","Methylprednisolone"
http://healthcarekg.org/ontology/autistic_disorder,hasSymptom,http://healthcarekg.org/ontology/constipation,"autistic disorder","Constipation"
http://healthcarekg.org/ontology/stomach_cancer,hasSymptom,http://healthcarekg.org/ontology/fever,"stomach cancer","Fever"
http://healthcarekg.org/ontology/liver_cancer,hasSymptom,http://healthcarekg.org/ontology/anoxia,"liver cancer","Anoxia"
http://healthcarekg.org/ontology/peripheral_nervous_system_neoplasm,hasSymptom,http://healthcarekg.org/ontology/blindness,"peripheral nervous system neoplasm","Blindness"
http://healthcarekg.org/ontology/hematologic_cancer,hasSymptom,http://healthcarekg.org/ontology/purpura_thrombocytopenic_idiopathic,"hematologic cancer","Purpura, Thrombocytopenic, Idiopathic"
http://healthcarekg.org/ontology/germ_cell_cancer,hasSymptom,http://healthcarekg.org/ontology/cerebrospinal_fluid_rhinorrhea,"germ cell cancer","Cerebrospinal Fluid Rhinorrhea"
http://healthcarekg.org/ontology/psoriasis,hasSymptom,http://healthcarekg.org/ontology/tetany,"psoriasis","Tetany"
http://healthcarekg.org/ontology/rheumatoid_arthritis,hasSymptom,http://healthcarekg.org/ontology/hearing_loss_sensorineural,"rheumatoid arthritis","Hearing Loss, Sensorineural"
http://healthcarekg.org/ontology/systemic_scleroderma,hasSymptom,http://healthcarekg.org/ontology/oral_manifestations,"systemic scleroderma","Oral Manifestations"
http://healthcarekg.org/ontology/endogenous_depression,hasSymptom,http://healthcarekg.org/ontology/weight_gain,"endogenous depression","Weight Gain"
http://healthcarekg.org/ontology/osteoporosis,hasSymptom,http://healthcarekg.org/ontology/body_weight,"osteoporosis","Body Weight"
http://healthcarekg.org/ontology/head_and_neck_cancer,hasSymptom,http://healthcarekg.org/ontology/anorexia,"head and neck cancer","Anorexia"
http://healthcarekg.org/ontology/ankylosing_spondylitis,hasSymptom,http://healthcarekg.org/ontology/torticollis,"ankylosing spondylitis","Torticollis"
http://healthcarekg.org/ontology/skin_cancer,hasSymptom,http://healthcarekg.org/ontology/oral_manifestations,"skin cancer","Oral Manifestations"
http://healthcarekg.org/ontology/autistic_disorder,hasSymptom,http://healthcarekg.org/ontology/lesch_nyhan_syndrome,"autistic disorder","Lesch-Nyhan Syndrome"
http://healthcarekg.org/ontology/germ_cell_cancer,treatedBy,http://healthcarekg.org/ontology/cisplatin,"germ cell cancer","Cisplatin"
http://healthcarekg.org/ontology/meningioma,hasSymptom,http://healthcarekg.org/ontology/unconsciousness,"meningioma","Unconsciousness"
http://healthcarekg.org/ontology/germ_cell_cancer,hasSymptom,http://healthcarekg.org/ontology/quadriplegia,"germ cell cancer","Quadriplegia"
http://healthcarekg.org/ontology/dilated_cardiomyopathy,hasSymptom,http://healthcarekg.org/ontology/dyspnea,"dilated cardiomyopathy","Dyspnea"
http://healthcarekg.org/ontology/germ_cell_cancer,hasSymptom,http://healthcarekg.org/ontology/meningism,"germ cell cancer","Meningism"
http://healthcarekg.org/ontology/alcohol_dependence,hasSymptom,http://healthcarekg.org/ontology/color_vision_defects,"alcohol dependence","Color Vision Defects"
http://healthcarekg.org/ontology/celiac_disease,hasSymptom,http://healthcarekg.org/ontology/vomiting,"celiac disease","Vomiting"
http://healthcarekg.org/ontology/germ_cell_cancer,treatedBy,http://healthcarekg.org/ontology/vinblastine,"germ cell cancer","Vinblastine"
http://healthcarekg.org/ontology/narcolepsy,hasSymptom,http://healthcarekg.org/ontology/disorders_of_excessive_somnolence,"Narcolepsy","Disorders of Excessive Somnolence"
http://healthcarekg.org/ontology/multiple_sclerosis,hasSymptom,http://healthcarekg.org/ontology/hearing_loss_sensorineural,"multiple sclerosis","Hearing Loss, Sensorineural"
http://healthcarekg.org/ontology/intracranial_aneurysm,hasSymptom,http://healthcarekg.org/ontology/hemiplegia,"intracranial aneurysm","Hemiplegia"
http://healthcarekg.org/ontology/type_1_diabetes_mellitus,hasSymptom,http://healthcarekg.org/ontology/body_weight,"type 1 diabetes mellitus","Body Weight"
http://healthcarekg.org/ontology/muscle_cancer,hasSymptom,http://healthcarekg.org/ontology/pelvic_pain,"muscle cancer","Pelvic Pain"
http://healthcarekg.org/ontology/pancreatic_cancer,hasSymptom,http://healthcarekg.org/ontology/anorexia,"pancreatic cancer","Anorexia"
http://healthcarekg.org/ontology/gout,hasSymptom,http://healthcarekg.org/ontology/edema,"gout","Edema"
http://healthcarekg.org/ontology/multiple_sclerosis,hasSymptom,http://healthcarekg.org/ontology/dysarthria,"multiple sclerosis","Dysarthria"
http://healthcarekg.org/ontology/dental_caries,hasSymptom,http://healthcarekg.org/ontology/trismus,"dental caries","Trismus"
http://healthcarekg.org/ontology/meningioma,hasSymptom,http://healthcarekg.org/ontology/gait_disorders_neurologic,"meningioma","Gait Disorders, Neurologic"
http://healthcarekg.org/ontology/skin_cancer,treatedBy,http://healthcarekg.org/ontology/temozolomide,"skin cancer","Temozolomide"
http://healthcarekg.org/ontology/epilepsy_syndrome,hasSymptom,http://healthcarekg.org/ontology/aphasia,"epilepsy syndrome","Aphasia"
http://healthcarekg.org/ontology/penile_cancer,hasSymptom,http://healthcarekg.org/ontology/pain_intractable,"penile cancer","Pain, Intractable"
http://healthcarekg.org/ontology/coronary_artery_disease,hasSymptom,http://healthcarekg.org/ontology/heart_murmurs,"coronary artery disease","Heart Murmurs"
http://healthcarekg.org/ontology/breast_cancer,hasSymptom,http://healthcarekg.org/ontology/postoperative_nausea_and_vomiting,"breast cancer","Postoperative Nausea and Vomiting"
http://healthcarekg.org/ontology/autistic_disorder,hasSymptom,http://healthcarekg.org/ontology/optical_illusions,"autistic disorder","Optical Illusions"
http://healthcarekg.org/ontology/spinal_cancer,hasSymptom,http://healthcarekg.org/ontology/urinary_incontinence,"spinal cancer","Urinary Incontinence"
http://healthcarekg.org/ontology/systemic_lupus_erythematosus,hasSymptom,http://healthcarekg.org/ontology/eye_manifestations,"systemic lupus erythematosus","Eye Manifestations"
http://healthcarekg.org/ontology/brain_cancer,hasSymptom,http://healthcarekg.org/ontology/hypesthesia,"brain cancer","Hypesthesia"
http://healthcarekg.org/ontology/vitiligo,hasSymptom,http://healthcarekg.org/ontology/hearing_disorders,"vitiligo","Hearing Disorders"
http://healthcarekg.org/ontology/intracranial_aneurysm,hasSymptom,http://healthcarekg.org/ontology/hiccup,"intracranial aneurysm","Hiccup"
http://healthcarekg.org/ontology/rheumatoid_arthritis,hasSymptom,http://healthcarekg.org/ontology/heartburn,"rheumatoid arthritis","Heartburn"
http://healthcarekg.org/ontology/uterine_cancer,hasSymptom,http://healthcarekg.org/ontology/hydrops_fetalis,"uterine cancer","Hydrops Fetalis"
http://healthcarekg.org/ontology/esophageal_cancer,hasSymptom,http://healthcarekg.org/ontology/vomiting_anticipatory,"esophageal cancer","Vomiting, Anticipatory"
http://healthcarekg.org/ontology/narcolepsy,hasSymptom,http://healthcarekg.org/ontology/paralysis,"Narcolepsy","Paralysis"
http://healthcarekg.org/ontology/age_related_macular_degeneration,hasSymptom,http://healthcarekg.org/ontology/photophobia,"age related macular degeneration","Photophobia"
http://healthcarekg.org/ontology/malaria,hasSymptom,http://healthcarekg.org/ontology/fetal_hypoxia,"malaria","Fetal Hypoxia"
http://healthcarekg.org/ontology/fuchs_endothelial_dystrophy,hasSymptom,http://healthcarekg.org/ontology/vision_low,"Fuchs' endothelial dystrophy","Vision, Low"
http://healthcarekg.org/ontology/brain_cancer,hasSymptom,http://healthcarekg.org/ontology/vomiting,"brain cancer","Vomiting"
http://healthcarekg.org/ontology/alcohol_dependence,hasSymptom,http://healthcarekg.org/ontology/hyperesthesia,"alcohol dependence","Hyperesthesia"
http://healthcarekg.org/ontology/hypertension,treatedBy,http://healthcarekg.org/ontology/chlorothiazide,"hypertension","Chlorothiazide"
http://healthcarekg.org/ontology/endogenous_depression,hasSymptom,http://healthcarekg.org/ontology/dizziness,"endogenous depression","Dizziness"
http://healthcarekg.org/ontology/type_2_diabetes_mellitus,treatedBy,http://healthcarekg.org/ontology/tolbutamide,"type 2 diabetes mellitus","Tolbutamide"
http://healthcarekg.org/ontology/iga_glomerulonephritis,hasSymptom,http://healthcarekg.org/ontology/hypergammaglobulinemia,"IgA glomerulonephritis","Hypergammaglobulinemia"
http://healthcarekg.org/ontology/retroperitoneal_cancer,hasSymptom,http://healthcarekg.org/ontology/neurologic_manifestations,"retroperitoneal cancer","Neurologic Manifestations"
http://healthcarekg.org/ontology/schizophrenia,hasSymptom,http://healthcarekg.org/ontology/catalepsy,"schizophrenia","Catalepsy"
http://healthcarekg.org/ontology/skin_cancer,treatedBy,http://healthcarekg.org/ontology/vismodegib,"skin cancer","Vismodegib"
http://healthcarekg.org/ontology/vascular_cancer,hasSymptom,http://healthcarekg.org/ontology/intermittent_claudication,"vascular cancer","Intermittent Claudication"
http://healthcarekg.org/ontology/larynx_cancer,hasSymptom,http://healthcarekg.org/ontology/vocal_cord_paralysis,"larynx cancer","Vocal Cord Paralysis"
http://healthcarekg.org/ontology/urinary_bladder_cancer,treatedBy,http://healthcarekg.org/ontology/epirubicin,"urinary bladder cancer","Epirubicin"
http://healthcarekg.org/ontology/malignant_glioma,hasSymptom,http://healthcarekg.org/ontology/hemianopsia,"malignant glioma","Hemianopsia"
http://healthcarekg.org/ontology/pharynx_cancer,hasSymptom,http://healthcarekg.org/ontology/neuralgia,"pharynx cancer","Neuralgia"
http://healthcarekg.org/ontology/bone_cancer,hasSymptom,http://healthcarekg.org/ontology/neck_pain,"bone cancer","Neck Pain"
http://healthcarekg.org/ontology/muscle_cancer,hasSymptom,http://healthcarekg.org/ontology/paresis,"muscle cancer","Paresis"
http://healthcarekg.org/ontology/brain_cancer,hasSymptom,http://healthcarekg.org/ontology/hearing_loss_high_frequency,"brain cancer","Hearing Loss, High-Frequency"
http://healthcarekg.org/ontology/hematologic_cancer,treatedBy,http://healthcarekg.org/ontology/gemcitabine,"hematologic cancer","Gemcitabine"
http://healthcarekg.org/ontology/bipolar_disorder,hasSymptom,http://healthcarekg.org/ontology/dyskinesia_drug_induced,"bipolar disorder","Dyskinesia, Drug-Induced"
http://healthcarekg.org/ontology/meningioma,hasSymptom,http://healthcarekg.org/ontology/hemianopsia,"meningioma","Hemianopsia"
http://healthcarekg.org/ontology/multiple_sclerosis,hasSymptom,http://healthcarekg.org/ontology/muscle_spasticity,"multiple sclerosis","Muscle Spasticity"
http://healthcarekg.org/ontology/coronary_artery_disease,treatedBy,http://healthcarekg.org/ontology/trandolapril,"coronary artery disease","Trandolapril"
http://healthcarekg.org/ontology/malignant_glioma,hasSymptom,http://healthcarekg.org/ontology/perceptual_disorders,"malignant glioma","Perceptual Disorders"
http://healthcarekg.org/ontology/asthma,treatedBy,http://healthcarekg.org/ontology/theophylline,"asthma","Theophylline"
http://healthcarekg.org/ontology/brain_cancer,treatedBy,http://healthcarekg.org/ontology/carmustine,"brain cancer","Carmustine"
http://healthcarekg.org/ontology/kawasaki_disease,hasSymptom,http://healthcarekg.org/ontology/edema,"Kawasaki disease","Edema"
http://healthcarekg.org/ontology/autistic_disorder,hasSymptom,http://healthcarekg.org/ontology/sensation_disorders,"autistic disorder","Sensation Disorders"
http://healthcarekg.org/ontology/leprosy,hasSymptom,http://healthcarekg.org/ontology/ageusia,"leprosy","Ageusia"
http://healthcarekg.org/ontology/multiple_sclerosis,hasSymptom,http://healthcarekg.org/ontology/gait_disorders_neurologic,"multiple sclerosis","Gait Disorders, Neurologic"
http://healthcarekg.org/ontology/cervical_cancer,hasSymptom,http://healthcarekg.org/ontology/urinary_bladder_neurogenic,"cervical cancer","Urinary Bladder, Neurogenic"
http://healthcarekg.org/ontology/hypertension,treatedBy,http://healthcarekg.org/ontology/felodipine,"hypertension","Felodipine"
http://healthcarekg.org/ontology/esophageal_cancer,treatedBy,http://healthcarekg.org/ontology/methotrexate,"esophageal cancer","Methotrexate"
http://healthcarekg.org/ontology/meningioma,hasSymptom,http://healthcarekg.org/ontology/vertigo,"meningioma","Vertigo"
http://healthcarekg.org/ontology/germ_cell_cancer,hasSymptom,http://healthcarekg.org/ontology/skin_manifestations,"germ cell cancer","Skin Manifestations"
http://healthcarekg.org/ontology/systemic_lupus_erythematosus,hasSymptom,http://healthcarekg.org/ontology/fever,"systemic lupus erythematosus","Fever"
http://healthcarekg.org/ontology/sarcoma,hasSymptom,http://healthcarekg.org/ontology/neck_pain,"sarcoma","Neck Pain"
http://healthcarekg.org/ontology/asthma,treatedBy,http://healthcarekg.org/ontology/montelukast,"asthma","Montelukast"
http://healthcarekg.org/ontology/paget_s_disease_of_bone,hasSymptom,http://healthcarekg.org/ontology/dizziness,"Paget's disease of bone","Dizziness"
http://healthcarekg.org/ontology/malignant_glioma,treatedBy,http://healthcarekg.org/ontology/temozolomide,"malignant glioma","Temozolomide"
http://healthcarekg.org/ontology/multiple_sclerosis,hasSymptom,http://healthcarekg.org/ontology/chorea,"multiple sclerosis","Chorea"
http://healthcarekg.org/ontology/germ_cell_cancer,hasSymptom,http://healthcarekg.org/ontology/hypoventilation,"germ cell cancer","Hypoventilation"
http://healthcarekg.org/ontology/lung_cancer,hasSymptom,http://healthcarekg.org/ontology/chest_pain,"lung cancer","Chest Pain"
http://healthcarekg.org/ontology/cervical_cancer,hasSymptom,http://healthcarekg.org/ontology/constipation,"cervical cancer","Constipation"
http://healthcarekg.org/ontology/metabolic_syndrome_x,hasSymptom,http://healthcarekg.org/ontology/overweight,"metabolic syndrome X","Overweight"
http://healthcarekg.org/ontology/uterine_cancer,treatedBy,http://healthcarekg.org/ontology/medroxyprogesterone_acetate,"uterine cancer","Medroxyprogesterone Acetate"
http://healthcarekg.org/ontology/brain_cancer,hasSymptom,http://healthcarekg.org/ontology/hearing_loss_central,"brain cancer","Hearing Loss, Central"
http://healthcarekg.org/ontology/sarcoma,hasSymptom,http://healthcarekg.org/ontology/abdomen_acute,"sarcoma","Abdomen, Acute"
http://healthcarekg.org/ontology/hypothyroidism,hasSymptom,http://healthcarekg.org/ontology/constipation,"hypothyroidism","Constipation"
http://healthcarekg.org/ontology/anemia,hasSymptom,http://healthcarekg.org/ontology/hydrops_fetalis,"anemia","Hydrops Fetalis"
http://healthcarekg.org/ontology/hypertension,hasSymptom,http://healthcarekg.org/ontology/overweight,"hypertension","Overweight"
http://healthcarekg.org/ontology/allergic_rhinitis,treatedBy,http://healthcarekg.org/ontology/prednisolone,"allergic rhinitis","Prednisolone"
http://healthcarekg.org/ontology/skin_cancer,hasSymptom,http://healthcarekg.org/ontology/pruritus_ani,"skin cancer","Pruritus Ani"
http://healthcarekg.org/ontology/celiac_disease,hasSymptom,http://healthcarekg.org/ontology/cerebellar_ataxia,"celiac disease","Cerebellar Ataxia"
http://healthcarekg.org/ontology/peritoneum_cancer,hasSymptom,http://healthcarekg.org/ontology/pelvic_pain,"peritoneum cancer","Pelvic Pain"
http://healthcarekg.org/ontology/hypertension,hasSymptom,http://healthcarekg.org/ontology/heart_murmurs,"hypertension","Heart Murmurs"
http://healthcarekg.org/ontology/stomach_cancer,treatedBy,http://healthcarekg.org/ontology/irinotecan,"stomach cancer","Irinotecan"
